language,uni_lemma,lexical_class,category,definition,word_clean
English (American),block,nouns,toys,block,block
English (American),blow,verbs,action_words,blow,blow
English (American),blue,adjectives,descriptive_words,blue,blue
English (American),boat,nouns,vehicles,boat,boat
English (American),book,nouns,toys,book,book
English (American),boots,nouns,clothing,boots,boots
English (American),bottle,nouns,household,bottle,bottle
English (American),bowl,nouns,household,bowl,bowl
English (American),box,nouns,household,box,box
English (American),bread,nouns,food_drink,bread,bread
English (American),break,verbs,action_words,break,break
English (American),bring,verbs,action_words,bring,bring
English (American),broken,adjectives,descriptive_words,broken,broken
English (American),broom,nouns,household,broom,broom
English (American),brown,adjectives,descriptive_words,brown,brown
English (American),brush (object),nouns,household,brush,brush
English (American),bubbles,nouns,toys,bubbles,bubbles
English (American),bucket,nouns,household,bucket,bucket
English (American),bug,nouns,animals,bug,bug
English (American),build,verbs,action_words,build,build
English (American),bump,verbs,action_words,bump,bump
English (American),bunny,nouns,animals,bunny,bunny
English (American),bus,nouns,vehicles,bus,bus
English (American),but,function_words,connecting_words,but,but
English (American),butt,nouns,body_parts,buttocks/bottom*,buttocks
English (American),butter,nouns,food_drink,butter,butter
English (American),butterfly,nouns,animals,butterfly,butterfly
English (American),button,nouns,clothing,button,button
English (American),buy,verbs,action_words,buy,buy
English (American),by,function_words,locations,by,by
English (American),cake,nouns,food_drink,cake,cake
English (American),camera,nouns,household,camera,camera
English (American),can (auxiliary),function_words,helping_verbs,can (auxiliary),can
English (American),can (object),nouns,household,can (object),can
English (American),candy,nouns,food_drink,candy,candy
English (American),car,nouns,vehicles,car,car
English (American),careful,adjectives,descriptive_words,careful,careful
English (American),carrots,nouns,food_drink,carrots,carrots
English (American),carry,verbs,action_words,carry,carry
English (American),cat,nouns,animals,cat,cat
English (American),catch,verbs,action_words,catch,catch
English (American),cereal,nouns,food_drink,cereal,cereal
English (American),chair,nouns,furniture_rooms,chair,chair
English (American),chalk,nouns,toys,chalk,chalk
English (American),chase,verbs,action_words,chase,chase
English (American),cheek,nouns,body_parts,cheek,cheek
English (American),cheerios,nouns,food_drink,cheerios,cheerios
English (American),cheese,nouns,food_drink,cheese,cheese
English (American),chicken (animal),nouns,animals,chicken (animal),chicken
English (American),chicken (food),nouns,food_drink,chicken (food),chicken
English (American),chin,nouns,body_parts,chin,chin
English (American),chips,nouns,food_drink,potato chip,potato chip
English (American),chocolate,nouns,food_drink,chocolate,chocolate
English (American),church,nouns,outside,church*,church
English (American),clap,verbs,action_words,clap,clap
English (American),clean (action),verbs,action_words,clean (action),clean
English (American),clean (description),adjectives,descriptive_words,clean (description),clean
English (American),climb,verbs,action_words,climb,climb
English (American),clock,nouns,household,clock,clock
English (American),close,verbs,action_words,close,close
English (American),closet,nouns,furniture_rooms,closet,closet
English (American),cloud,nouns,outside,cloud,cloud
English (American),coat,nouns,clothing,coat,coat
English (American),coffee,nouns,food_drink,coffee,coffee
English (American),coke,nouns,food_drink,coke,coke
English (American),cold,adjectives,descriptive_words,cold,cold
English (American),comb (object),nouns,household,comb,comb
English (American),cook,verbs,action_words,cook,cook
English (American),cookie,nouns,food_drink,cookie,cookie
English (American),corn,nouns,food_drink,corn,corn
English (American),couch,nouns,furniture_rooms,couch,couch
English (American),could,function_words,helping_verbs,could,could
English (American),cover (action),verbs,action_words,cover,cover
English (American),cow,nouns,animals,cow,cow
English (American),cracker,nouns,food_drink,cracker,cracker
English (American),crayon,nouns,toys,crayon,crayon
English (American),crib,nouns,furniture_rooms,crib,crib
English (American),cry,verbs,action_words,cry,cry
English (American),cup,nouns,household,cup,cup
English (American),cut,verbs,action_words,cut,cut
English (American),cute,adjectives,descriptive_words,cute,cute
English (American),dance,verbs,action_words,dance,dance
English (American),dark,adjectives,descriptive_words,dark,dark
English (American),deer,nouns,animals,deer,deer
English (American),diaper,nouns,clothing,diaper,diaper
English (American),did,function_words,helping_verbs,did/did ya,did
English (American),dirty,adjectives,descriptive_words,dirty,dirty
English (American),dish,nouns,household,dish,dish
English (American),do,function_words,helping_verbs,do,do
English (American),does,function_words,helping_verbs,does,does
English (American),dog,nouns,animals,dog,dog
English (American),doll,nouns,toys,doll,doll
English (American),don't,function_words,helping_verbs,don't,dont
English (American),donkey,nouns,animals,donkey,donkey
English (American),donut,nouns,food_drink,donut,donut
English (American),door,nouns,furniture_rooms,door,door
English (American),down,function_words,locations,down,down
English (American),draw,verbs,action_words,draw,draw
English (American),drawer,nouns,furniture_rooms,drawer,drawer
English (American),dress (object),nouns,clothing,dress (object),dress
English (American),drink (action),verbs,action_words,drink (action),drink
English (American),drink (beverage),nouns,food_drink,drink (beverage),drink
English (American),drive,verbs,action_words,drive,drive
English (American),drop,verbs,action_words,drop,drop
English (American),dry (action),verbs,action_words,dry (action),dry
English (American),dry (description),adjectives,descriptive_words,dry (description),dry
English (American),dryer,nouns,furniture_rooms,dryer,dryer
English (American),duck,nouns,animals,duck,duck
English (American),dump,verbs,action_words,dump,dump
English (American),each,function_words,quantifiers,each,each
English (American),ear,nouns,body_parts,ear,ear
English (American),eat,verbs,action_words,eat,eat
English (American),egg,nouns,food_drink,egg,egg
English (American),elephant,nouns,animals,elephant,elephant
English (American),empty,adjectives,descriptive_words,empty,empty
English (American),every,function_words,quantifiers,every,every
English (American),eye,nouns,body_parts,eye,eye
English (American),face,nouns,body_parts,face,face
English (American),fall,verbs,action_words,fall,fall
English (American),fast,adjectives,descriptive_words,fast,fast
English (American),feed,verbs,action_words,feed,feed
English (American),find,verbs,action_words,find,find
English (American),fine,adjectives,descriptive_words,fine,fine
English (American),finger,nouns,body_parts,finger,finger
English (American),finish,verbs,action_words,finish,finish
English (American),firetruck,nouns,vehicles,firetruck,firetruck
English (American),first,adjectives,descriptive_words,first,first
English (American),fish (animal),nouns,animals,fish (animal),fish
English (American),fish (food),nouns,food_drink,fish (food),fish
English (American),fit,verbs,action_words,fit,fit
English (American),fix,verbs,action_words,fix,fix
English (American),flag,nouns,outside,flag,flag
English (American),flower,nouns,outside,flower,flower
English (American),food,nouns,food_drink,food,food
English (American),foot,nouns,body_parts,foot,foot
English (American),for,function_words,locations,for,for
English (American),fork,nouns,household,fork,fork
English (American),french fries,nouns,food_drink,french fries,french fries
English (American),frog,nouns,animals,frog,frog
English (American),full,adjectives,descriptive_words,full,full
English (American),game,nouns,toys,game,game
English (American),garage,nouns,furniture_rooms,garage,garage
English (American),garbage,nouns,household,garbage,garbage
English (American),garden,nouns,outside,garden,garden
English (American),gentle,adjectives,descriptive_words,gentle,gentle
